Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.373126,0
100-300-002.txt,0.368788,0
100-300-003.txt,0.375063,1
100-300-004.txt,0.367527,2
100-300-005.txt,0.370308,2
100-300-006.txt,0.36564,3
100-300-007.txt,0.366184,2
100-300-008.txt,0.370838,2
100-300-009.txt,0.364917,3
100-300-010.txt,0.367004,2
100-300-011.txt,0.367248,3
100-300-012.txt,0.366579,3
100-300-013.txt,0.368355,2
100-300-014.txt,0.370059,2
100-300-015.txt,0.369375,2
100-300-016.txt,0.369706,1
100-300-017.txt,0.378068,0
100-300-018.txt,0.36659,2
100-300-019.txt,0.370656,0
100-300-020.txt,0.369187,3
100-300-021.txt,0.366673,3
100-300-022.txt,0.370776,2
100-300-023.txt,0.552406,1
100-300-024.txt,0.582061,0
100-300-025.txt,0.379181,2
100-300-026.txt,0.4954,1
100-300-027.txt,0.382798,3
100-300-028.txt,0.46096,4
100-300-029.txt,0.388003,2
100-300-030.txt,0.370504,3
100-300-031.txt,0.375585,5
100-300-032.txt,0.366271,3
100-300-033.txt,0.368141,2
100-300-034.txt,0.367409,1
100-300-035.txt,0.369788,0
100-300-036.txt,0.369048,1
100-300-037.txt,0.367279,2
100-300-038.txt,0.368181,3
100-300-039.txt,0.371489,2
100-300-040.txt,0.367277,1
100-300-041.txt,0.367532,2
100-300-042.txt,0.364344,2
100-300-043.txt,0.365569,2
100-300-044.txt,0.373878,1
100-300-045.txt,0.367692,1
100-300-046.txt,0.397329,3
100-300-047.txt,0.384476,0
100-300-048.txt,0.38158,2
100-300-049.txt,0.370595,0
100-300-050.txt,0.364055,6
100-300-051.txt,0.365162,2
100-300-052.txt,0.368492,2
100-300-053.txt,0.371962,0
100-300-054.txt,0.365655,1
100-300-055.txt,0.370767,2
100-300-056.txt,0.369812,1
100-300-057.txt,0.369434,3
100-300-058.txt,0.424619,2
100-300-059.txt,0.384769,2
100-300-060.txt,0.387853,1
100-300-061.txt,0.373151,1
100-300-062.txt,0.367571,0
100-300-063.txt,0.369204,1
100-300-064.txt,0.365525,2
100-300-065.txt,0.373569,0
100-300-066.txt,0.370256,1
100-300-067.txt,0.367937,4
100-300-068.txt,0.370094,3
100-300-069.txt,0.370853,0
100-300-070.txt,0.365651,2
100-300-071.txt,0.375097,0
100-300-072.txt,0.368119,0
100-300-073.txt,0.364833,4
100-300-074.txt,0.436992,1
100-300-075.txt,0.382849,1
100-300-076.txt,0.379527,3
100-300-077.txt,0.379571,1
100-300-078.txt,0.379443,3
100-300-079.txt,0.473983,3
100-300-080.txt,0.395413,0
100-300-081.txt,0.384553,2
100-300-082.txt,0.459296,1
100-300-083.txt,0.389916,0
100-300-084.txt,0.402728,0
100-300-085.txt,0.375521,2
100-300-086.txt,0.365601,2
100-300-087.txt,0.365465,3
100-300-088.txt,0.365846,1
100-300-089.txt,0.370263,2
100-300-090.txt,0.367523,2
100-300-091.txt,0.371888,0
100-300-092.txt,0.367601,1
